,DIS,chatgpt_sentiment
2023-01-02 00:26:54,"‘Avatar’ sequel No. 1 at box office again, tops $1 billion worldwide",Positive
2023-01-02 07:02:14,Jeremy Renner hospitalized after snow-related accident,Negative
2023-01-02 19:34:54,Jeremy Renner seriously injured while plowing snow in Nevada,Negative
2023-01-02 22:48:05,Jeremy Renner critically injured while plowing snow near Lake Tahoe,Negative
2023-01-03 02:51:18,‘Avengers’ Star Jeremy Renner Undergoes Surgery After Snow Plow Accident,Positive
2023-01-03 08:57:56,Amazon: Deep Dive Analysis Reveals Excellent Long-Term Value,Positive
2023-01-03 15:14:26,Warner Bros. Discovery signs audience measurement deal with startup Nielsen rival VideoAmp,Neutral
2023-01-03 15:43:26,Disney’s next 100 years hinges on a metaverse,Neutral
2023-01-03 19:19:39,"As postproduction backlogs delay movie releases, B. Riley lowers industry box-office estimates",Neutral
2023-01-03 19:25:02,"Oscar-Eligible Animated Feature ""Lamya's Poem"" Acquired By Freestyle Digital Media For February Release",Neutral
2023-01-03 19:25:12,Nets roll to 12 in a row as Vaughn builds winner in Brooklyn,Positive
2023-01-03 21:54:55,Reno mayor: Actor Renner was helping stranded car when hurt,Positive
2023-01-03 23:03:04,The Steam Awards 2022 announces winners,Neutral
2023-01-04 01:03:09,Stock futures inch lower after rocky start to 2023,Negative
2023-01-04 01:30:07,Jim Cramer predicts these 10 Dow stocks will perform well in 2023,Positive
2023-01-04 03:54:17,Jeremy Renner was helping snowbound motorist when injured in ‘tragic accident’,Neutral
2023-01-04 04:08:04,"Buy 4 January Dogs Of The Dow, Watch 4 More",Neutral
2023-01-04 07:44:17,Compounders And Dividends: December 2022 Portfolio Update,Neutral
2023-01-04 09:56:14,Analyzing 13Fs: ARK Investment Management (Cathie Wood's ETFs),Neutral
2023-01-04 15:35:45,The fitness-centric Beats Fit Pro are back down to their lowest price,Positive
2023-01-04 18:07:10,"At CES 2023, Sony's 'Gran Turismo' flags new entertainment strategy",Neutral
2023-01-04 19:51:33,Amazon’s custom-built ‘Hey Disney!’ voice assistant will become available for purchase later this year,Neutral
2023-01-04 19:55:31,Disney Plus IMAX Enhanced streaming is expanding to include ‘signature sound’,Positive
2023-01-04 22:42:49,Fanatics is divesting its 60% stake in NFT company Candy Digital,Neutral
2023-01-04 23:40:51,Philips Hue is getting a $130 app for TVs,Neutral
2023-01-05 03:14:47,"Today at CES: Smellscapes, robot dogs, and ‘awareables’",Neutral
2023-01-05 11:19:12,3 Myths To Debunk About Apple,Neutral
2023-01-05 19:40:31,HTC Vive XR Elite headset debuts for enthusiasts and enterprises,Neutral
2023-01-05 23:30:23,U.S. Wide-Moat Stocks On Sale: The January 2023 Heat Map,Neutral
2023-01-06 03:07:08,Snap’s shutting down the app that put cool filters on your Zoom calls,Negative
2023-01-06 20:07:08,Mastercard launches web3-focused artist incubator with Polygon,Positive
2023-01-06 21:03:08,Verizon’s +Play subscription store to later open to non-Verizon customers,Neutral
2023-01-06 21:06:26,Disney: Creating A New Corporate Culture Is Job One For Iger,Neutral
2023-01-06 23:56:35,The Nasdaq Has Bottomed,Positive
2023-01-07 09:25:56,"Endeavor Group Stock: Dana White Scandal Adds Risks, But Possibly Overblown",Neutral
2023-01-07 11:56:56,Disney Princesses Return to Mattel as Barbie Maker’s Turnaround Ambitions Grow,Neutral
2023-01-07 13:56:52,Vince McMahon is back at WWE to ensure a smooth sale process. Here’s who might want to buy it,Neutral
2023-01-07 19:28:16,Dozens in Congress beat stock market in 2022 despite downturn on Wall Street: analysis,Neutral
2023-01-08 00:40:33,Disney’s Magical Companion debuts at CES with some help from Amazon,Neutral
2023-01-08 00:45:39,The best products and moments of CES 2023 | The DeanBeat,Positive
2023-01-08 13:46:07,DJD: Value And Dividend Growth In The Dow Jones,Neutral
2023-01-08 20:32:51,What each streaming service has up its sleeve in 2023,Neutral
2023-01-09 02:09:52,Amazon Needs The Silver Screen,Neutral
2023-01-09 02:39:04,‘Shallow Catalog’ is The Fastest-Growing Business in Music,Neutral
2023-01-09 11:53:15,"Pearl Academy Announces ""Who's Next?"" Scholarship; Looks Out For Best Creative Minds In India",Positive
2023-01-09 14:19:32,From the Archive: 1992 Ferrari 512TR Epic Cross-Country Road Trip,Neutral
2023-01-09 15:48:13,Cinemark Is Still Over-Priced Even After Dropping 50%,Negative
2023-01-09 18:47:09,Bob Iger tells Disney employees they must return to the office four days a week,Neutral
2023-01-09 19:40:32,Orlando Unveils 23 New Experiences To See In 2023,Positive
2023-01-09 20:56:57,"As Brazil reels from riots, Bolsonaro finds home in Florida",Negative
2023-01-09 21:15:14,"Abigail Disney says private jets are a climate ‘cancer,’ calls out Elon Musk and other rich ‘babies’",Negative
2023-01-09 22:13:08,"'Avatar' adds to cash pile, but 'M3GAN' is latest horror surprise",Neutral
2023-01-10 00:46:13,"Daily Crunch: In an all-cash transaction, private equity firm buys insurtech startup Duck Creek for $2.6B",Neutral
2023-01-10 02:24:00,"Disney Requires Workers to Come to Office Four Days a Week, Starting in March",Neutral
2023-01-10 03:21:16,December 2022 Passive Income - Wrapping It Up,Positive
2023-01-10 11:37:08,Tuesday’s top tech news: the next step in Apple’s chip plans,Neutral
2023-01-10 14:26:07,What does it really take to be a leader when it comes to cloud databases?,Neutral
2023-01-10 15:27:53,Disney CEO Bob Iger orders workers to return to the office 4 days a week,Neutral
2023-01-10 17:28:45,"What is chokepoint capitalism, with authors Cory Doctorow and Rebecca Giblin",Neutral
2023-01-10 18:43:29,Warner Bros. shares are headed for best nine-day streak in nearly two decades,Positive
2023-01-10 18:46:25,‘Top Gun: Maverick’ and Disney were the box office leaders in an otherwise soft 2022,Positive
2023-01-10 19:39:09,"Tech firms, Wall Street lead job cuts in Corporate America",Negative
2023-01-10 20:00:34,"Tesla, Uber, Amazon, Starbucks: The 2023 Just 100 list biggest gainers, losers and surprises",Neutral
2023-01-10 23:22:33,Bolsonaro Finds a Refuge Near the ‘Most Magical Place on Earth’,Neutral
2023-01-10 23:42:24,Disney is making it easier for its most loyal customers to visit its theme parks,Positive
2023-01-11 00:50:52,Disney makes it easier for loyal customers to visit theme parks,Positive
2023-01-11 01:06:15,Disney Adds Lower Priced Theme Park Access and Perks,Positive
2023-01-11 02:17:09,Disney eases policies at theme parks for first time in new Iger stint,Positive
2023-01-11 06:30:21,London-based Peppy eyes US market in $45 million raise,Neutral
2023-01-11 06:31:53,Peppy secures a $45M Series B to expand its B2B2C health services platform to the US,Positive
2023-01-11 09:04:01,"The app economy slowed for the first time in 2022, with consumer spend down 2% to $167 billion",Negative
2023-01-11 10:18:06,Refugee Services Of Texas Names David Mckeever As Ceo Of The State's Leading Resettlement Organization,Neutral
2023-01-11 14:52:35,"Stocks making the biggest moves premarket: CarMax, Salesforce, Coinbase and more",Neutral
2023-01-11 16:38:38,"AMC jumps ~14%, on track for best day of the new year after a 75% plunge in 2022",Positive
2023-01-11 17:59:18,"Universal Plans New Family Resort in Texas, Las Vegas Horror Attraction",Neutral
2023-01-11 18:16:37,Steven Spielberg Wins Big at Golden Globes as Show Returns,Positive
2023-01-11 18:52:49,Netflix adds the SAG Awards to its growing list of livestreams,Positive
2023-01-11 18:53:44,HBO and HBO Max dominates Golden Globes with most wins,Positive
2023-01-11 20:09:01,"Paul Tudor Jones, hedge fund billionaire, wants to do away with ‘ESG’",Neutral
2023-01-11 21:30:15,G Fuel And Bandai Namco Entertainment America Inc. Pick Up Bonus Points And Introduce Pac-Man Energy Drink,Positive
2023-01-11 22:38:17,"Disney taps Nike's Parker as new board chairman, urges vote against Peltz",Neutral
2023-01-11 22:44:04,Disney to make Nike's Mark Parker chairman as it opposes Nelson Peltz's push to join board,Neutral
2023-01-11 23:53:42,Disney names Nike executive Mark Parker as new chairman,Neutral
2023-01-12 00:14:21,Starbucks CEO Howard Schultz tells corporate workers to return to the office 3 days a week,Neutral
2023-01-12 00:36:37,Saudi Arabia is Rumored to Purchase World Wrestling Entertainment,Neutral
2023-01-12 01:08:13,"Stocks to Watch: Disney, Yield10 Bioscience, KB Home",Neutral
2023-01-12 01:23:59,Subway considers sale valuing sandwich chain at more than $10 billion,Neutral
2023-01-12 01:45:30,Disney Tax District Shores Up Development Plans Amid Florida Tensions,Neutral
2023-01-12 02:22:48,What to expect at work this year,Neutral
2023-01-12 02:35:20,Biden aides find more classified documents at second location,Neutral
2023-01-12 02:45:30,Nelson Peltz Plans Proxy Fight Against Disney,Neutral
2023-01-12 04:48:50,"Disney, activist investor Peltz gird for fight over board seat",Neutral
2023-01-12 12:45:39,"As it shifts focus from DIY computer kits, Kano spins out its creative software suite as a standalone business",Neutral
2023-01-12 14:08:27,"Stocks making the biggest moves premarket: Disney, American Airlines, Bed Bath & Beyond, Logitech and more",Neutral
2023-01-12 15:30:37,"Nelson Peltz lays out his case for Disney proxy fight, slams Fox acquisition",Negative
2023-01-12 16:49:23,Disney faces proxy fight as Peltz pushes to join board,Neutral
2023-01-12 19:10:00,"Stocks making the biggest moves midday: Cognizant, American Airlines, Logitech and more",Neutral
2023-01-12 19:23:24,Investor Peltz takes on Iger's kingdom with fight for Disney board seat,Neutral
2023-01-12 20:07:51,JPMorgan Says Frank Was Fraud,Negative
2023-01-12 20:19:52,Cinemark rises ~9% after JPMorgan upgrades stock on better risk/reward post sell-off,Positive
2023-01-12 20:36:23,"Netflix’s unpredictable finale: With no more subscription guidance, the focus is on financial estimates",Neutral
2023-01-13 00:00:00,Roku: Rising Competition From Partners,Negative
2023-01-13 00:11:54,Disney Braces for a Proxy Fight with Nelson Peltz,Neutral
2023-01-13 00:35:18,Jim Cramer says Disney should allow Nelson Peltz to join its board,Neutral
2023-01-13 05:36:47,Starbucks tells corporate employees to return to office 3 days a week,Neutral
2023-01-13 15:30:28,Tiny Colony will debut as Web3 tower defense game on ImmutableX,Neutral
2023-01-13 15:30:33,"Award-Winning Film Producer Launches Web3's First Management Sim, Tiny Colony, On Immutablex",Neutral
2023-01-13 15:40:20,Lina Khan’s Plan to Liberate US Workers,Neutral
2023-01-13 17:00:26,Sinclair Broadcast: Nice Entry Point For Investors,Positive
2023-01-13 17:27:54,Activist investor Nelson Peltz’s Trian won’t pursue Wendy’s takeover,Neutral
2023-01-13 19:05:36,YouTube creators are ducking outraged by its swearing policy,Negative
2023-01-13 20:59:09,"Creative, Talented And Inspiring High School Students Chosen For This Year's Disney Dreamers Academy At Walt Disney World Resort",Positive
2023-01-13 23:29:20,YouTube’s testing free ad-supported TV channels,Neutral
2023-01-14 04:43:39,AFI Awards holds moment of silence for Lisa Marie Presley,Neutral
2023-01-14 14:54:34,A battle between Disney and activist Peltz brews. Here’s how the situation may unfold,Neutral
2023-01-14 15:30:53,LG’s StanbyME is a so-so TV on a stellar stand,Neutral
2023-01-14 16:42:56,"Netflix's 'Wednesday' tops streaming week, though HBO Max keeps building",Neutral
2023-01-15 14:21:54,"Forget inflation, it’s all about earnings",Positive
2023-01-15 15:20:17,Eric Cantor of M&A advisory firm Moelis sees pent-up demand for deals this year,Neutral
2023-01-15 15:39:50,Gen Z has a new ‘vintage’ technology to obsess over,Positive
2023-01-15 18:02:58,Cliq Digital: Trading At Just 2.5 Times The Anticipated 2025 EBITDA,Neutral
2023-01-16 16:33:12,Goldman picks 50 top return-on-equity stocks for a tough ROE year,Neutral
2023-01-16 16:35:45,Angela Bassett To Receive The Distinguished Artisan Award At 2023 Make-Up Artists & Hair Stylists Guild Awards,Positive
2023-01-17 02:08:37,Netflix plans its biggest-ever slate of Korean content,Positive
2023-01-17 10:02:50,"Cousins Properties: Offers 4.9% Dividend, 30% Upside Potential Over The Next 2 Years",Positive
2023-01-17 12:10:47,Extremely Hardcore,Neutral
2023-01-17 13:01:49,A lot of people hide their cancer diagnosis from their bosses. These companies aim to change that,Positive
2023-01-17 15:38:45,"Jim Cramer’s top 10 things to watch in the market Tuesday: Morgan Stanley beat, Goldman Sachs miss, Estee Lauder boost",Neutral
2023-01-17 16:38:05,Disney+ releases full trailer for ‘The Mandalorian’ Season 3,Positive
2023-01-17 17:02:33,A lot of people hide their cancer diagnosis from their bosses. These companies aim to change that,Positive
2023-01-17 17:56:44,"YouTube confirms a test of a new hub for free, ad-supported streaming channels",Neutral
2023-01-17 17:59:43,"Disney slams activist Peltz amid proxy fight, defends Iger track record",Neutral
2023-01-17 19:14:14,Din Djarin seeks forgiveness for his sins in The Mandalorian S3 trailer,Neutral
2023-01-17 19:15:16,"Disney Defends Board, CEO Robert Iger Against Nelson Peltz’s Criticisms",Neutral
2023-01-17 19:21:04,Disney: Activist investor Peltz lacks ‘skills and experience’ for board seat,Negative
2023-01-17 19:22:04,"Recession or not, Wall Street still expects inflation to produce record profit margins, with more on the way",Positive
2023-01-17 20:11:10,Streaming TV Is Only Going to Get More Expensive From Here,Neutral
2023-01-17 20:32:52,"Wendy’s new capital allocation strategy leaves room for upside, could reduce debt",Positive
2023-01-17 20:36:01,Disney says Peltz 'lacks skills' to help business as proxy battle heats up,Negative
2023-01-17 20:53:04,SEC Comes for Gemini Too Late,Neutral
2023-01-17 21:51:34,Fire of Love revisits tragedy of French volcanologists who died in 1991,Neutral
2023-01-17 22:11:52,Ousted Disney CEO Bob Chapek will get $20 million exit pay,Neutral
2023-01-18 00:20:17,"'Avatar' sequel, AI horror hit charge forward at holiday box office",Positive
2023-01-18 00:21:57,Perjury trial looms for Baltimore’s former top prosecutor,Neutral
2023-01-18 00:22:51,2023 Uca & Uda College Cheerleading And Dance Team National Championship Honors Top Teams,Neutral
2023-01-18 07:50:20,"China lets Marvel movies back in, sets dates for Black Panther, Ant-Man sequels",Positive
2023-01-18 11:18:50,Over 200 millionaires urge Davos elite to up taxes on the ultra-rich,Neutral
2023-01-18 14:40:17,Random Games unveils new set of NFTs for Unioverse game,Neutral
2023-01-18 18:58:57,Zack Snyder’s ‘Rebel Moon’ is set to arrive on Netflix in December,Neutral
2023-01-18 21:19:32,"Disney slams Peltz for lack of media experience, but its board is light on it, too",Neutral
2023-01-18 22:17:30,"Marvel movies are set to return to China, but Covid could weigh on ticket sales",Negative
2023-01-19 01:57:35,Chippendales: The Indian whose US strip club empire ended with a murder,Negative
2023-01-19 09:04:26,Marvel movies are returning to China after almost four years,Positive
2023-01-19 17:00:22,On CRM: The Inconvenient Truth About Salesforce,Negative
2023-01-19 17:21:48,"Sling TV’s subscriber base continues to tank, loses over 75K subs in Q4",Negative
2023-01-19 21:53:00,Former Disney CEO Has $20 Million 'Golden Parachute',Positive
2023-01-19 22:50:39,"Netflix’s 4Q subscribers surge, long-time CEO passes baton",Positive
2023-01-19 23:04:32,Netflix Earnings Takeaway: New Ad-Supported Tier Is A Hit,Positive
2023-01-19 23:10:38,Netflix co-founder Hastings steps down as CEO as company adds subscribers,Positive
2023-01-19 23:30:47,"In the fight against slowing growth, Netflix and its rivals are all in this together",Neutral
2023-01-20 01:19:39,"With A Strong Earnings Report, Netflix Readies For The 2022-23 Upfront",Positive
2023-01-20 01:37:52,Netflix’s paid password sharing to roll out ‘more broadly’ in the coming months,Neutral
2023-01-20 08:03:41,Netflix and Disney+ ad-supported tiers are not that attractive,Negative
2023-01-20 10:58:02,Netflix: Reed Hastings steps down but subscribers jump,Positive
2023-01-20 15:38:55,China’s Movie Censorship: ‘Black Panther’ And ‘Ant Man’ Sequels Approved After Past Marvel Films—And ‘Top Gun’—Were Banned,Neutral
2023-01-20 16:16:21,How (and where) to watch the AP Top 25 Movies online,Neutral
2023-01-20 16:23:28,Ron DeSantis government bans new advanced African American history course,Negative
2023-01-20 16:23:53,"I Worked at Disney World, Here's What I'd Never Buy",Negative
2023-01-20 17:02:50,"Rejecting AP Studies, Restricting Libraries: Here’s How DeSantis And His ‘Anti-Woke’ Policies Are Impacting Florida Education",Negative
2023-01-20 17:48:12,Who is Shou Zi Chew? Mounting scrutiny on TikTok could put new spotlight on its CEO,Neutral
2023-01-20 18:00:00,Why Does AI Art Look Like a ’70s Prog-Rock Album Cover?,Neutral
2023-01-20 20:30:37,Lawsuit claims woman’s death stemmed from Disneyland fall,Neutral
2023-01-20 21:57:47,Netflix 3.0 Is Coming,Neutral
2023-01-20 23:01:28,Japan was the future but it's stuck in the past,Negative
2023-01-21 15:00:01,'M3gan' is setting the stage for a big year for horror movies at the box office,Positive
2023-01-21 16:19:05,India blocks YouTube videos and Twitter posts on BBC Modi documentary,Neutral
2023-01-21 19:10:00,Reinventing search now could break Google’s monopoly in the future,Neutral
2023-01-21 22:15:26,The Internet Loves The Absurd Lies Of George Santos,Positive
2023-01-22 05:01:58,Disenchanment at Disney amidst governance crisis,Negative
2023-01-22 17:34:32,'Avatar: The Way of Water' tops $2 billion at the global box office,Positive
2023-01-22 17:46:00,‘Avatar: The Way Of Water’ Crosses $2 Billion In Box Office Sales After Six Weeks,Positive
2023-01-23 06:01:00,A Pessimist’s Guide to Embracing Positivity,Neutral
2023-01-23 09:00:12,Razzie nominations: Marilyn Monroe biopic Blonde leads with eight,Neutral
2023-01-23 09:35:00,4 Ways Every Corporation Can Innovate Like A Startup,Positive
2023-01-23 13:00:00,The Internet Is Breeding Hordes of Adult Bluey Fans,Neutral
2023-01-23 13:14:08,5 things to know before the stock market opens Monday,Neutral
2023-01-23 13:52:42,Ordered Back To The Office? 5 Reasons To Feel Better About It,Positive
2023-01-23 14:00:00,"Inside ‘The Walking Dead,’ ‘Invincible’ Owner Skybound Entertainment’s $75 Million Public Equity Campaign",Neutral
2023-01-23 16:19:00,Amazon Prime (Barely) Beat Netflix As Top Streamer For Q4 2022,Neutral
2023-01-23 17:01:32,Disney’s Splash Mountain Takes Final Lap After Controversial Past,Neutral
2023-01-23 19:27:39,How Apple’s Upcoming Mixed-Reality Headset Will Work,Neutral
2023-01-23 20:50:20,The short and very lucrative career of one former Disney PR boss,Positive
2023-01-23 23:10:09,Commentary: Smartphones? They’re so very 2022,Neutral
2023-01-24 00:08:00,Splash Mountain water is for sale on eBay. The asking price for H2O from Disney’s shuttered ride? $100-plus.,Neutral
2023-01-24 00:28:57,"Arte Moreno takes Angels off market, will continue as owner",Neutral
2023-01-24 00:57:15,Nic Novicki Celebrates A Decade Of The Easterseals Disability Film Challenge,Positive
2023-01-24 02:14:16,"This guy made $150,000 a day, because Corporate America is out of control",Negative
2023-01-24 05:13:00,Pamela Anderson's New Netflix Documentary Reveals Some Surprising Secrets,Neutral
2023-01-24 12:27:01,Live Nation exec will face lawmakers about Taylor Swift concert tickets fiasco,Neutral
2023-01-24 12:44:00,"How a money drain in 2023 could upset the banks again and cause another market meltdown, investor warns",Negative
2023-01-24 13:00:00,"Robert Iger, Henry Kravis to Buy Minority Stake in Thrive Capital",Neutral
2023-01-24 15:00:00,The Job Market for Remote Workers Is Shrinking,Negative
2023-01-24 16:43:49,Netflix’s ‘All Quiet on the Western Front’ is among the most-nominated Oscar films,Neutral
2023-01-24 17:34:20,Amazon scores one Oscar nomination; Netflix war drama is streaming leader with nine nods,Neutral
2023-01-24 21:33:38,How (and where) to watch Oscar-nominated films online,Neutral
2023-01-24 22:32:49,Rupert Murdoch calls off proposed Fox-News Corp merger,Negative
2023-01-24 22:52:56,Rupert Murdoch abandons plan to recombine Fox and News Corp,Neutral
2023-01-25 00:10:31,Rupert Murdoch Scraps Plans To Reunite Fox And News Corp.,Negative
2023-01-25 01:02:36,Eurostar trains carrying 30% fewer passengers,Negative
2023-01-25 06:09:23,Asia travel hotspots quiet as Chinese tourists stay away,Negative
2023-01-25 06:30:00,Can Frame Denim Be a Fashion Brand?,Neutral
2023-01-25 13:07:56,"Murdoch pulls plug on possible merger of News Corp., Fox",Neutral
2023-01-25 17:14:30,Oscars 2023: How to watch the nominated films,Neutral
2023-01-25 18:14:00,Disney World Closes Splash Mountain Ride to Remove Racist Themes,Positive
2023-01-25 20:07:01,Disney+ advertisers will soon get Hulu’s ad targeting capabilities,Neutral
2023-01-25 21:01:00,Ex-Google Employee Brutally Documents Mass Layoffs,Negative
2023-01-26 00:35:32,Jim Cramer picks his standout stocks in 4 bull market industries,Neutral
2023-01-26 12:45:01,"Comcast beats expectations even as broadband growth slows, Peacock racks up losses",Neutral
2023-01-26 13:00:00,The Rise of the Tech Bro Supervillain,Neutral
2023-01-26 15:10:27,Peacock tops 20M subscribers in Q4 as losses widen,Negative
2023-01-26 17:00:59,'Stranger Things' Was The Most-Streamed Show Of 2022—Here's The Surprising Top 10,Positive
2023-01-26 17:32:00,35 Great Valentine’s Day Gifts Under $50 (That Seem More Expensive Than They Are),Positive
2023-01-26 17:38:22,NBUniversal expects Peacock losses to peak this year as streamer slowly adds subscribers,Neutral
2023-01-26 17:40:00,Josh Kushner's Net Worth Trumps Family Fortune,Neutral
2023-01-27 02:51:00,"A tourism tale of 3 cities: Tokyo thrives, Macao lures mainland Chinese visitors, while Hong Kong waits to shake off COVID-19 blues",Neutral
2023-01-27 06:17:25,Ad Budgets Set To Slow Even More In 2023,Negative
2023-01-27 16:45:00,Guess Who’s Using Your Netflix Account? You Might Be Surprised.,Negative
2023-01-27 17:00:00,🎙️ The Drive at Five with Dan Taylor and Robin Wauters - Episode 20,Neutral
2023-01-27 19:40:25,"Warner Bros. swiped our Harry Potter wand IP, says Kano",Negative
2023-01-27 23:53:53,Surprise: More And More People Are Cutting Their Streaming TV Services,Negative
2023-01-28 02:12:12,China Celebrated Lunar New Year Like Covid No Longer Exists,Positive
2023-01-28 05:27:40,"Your Saturday Asia Briefing: China Moves On, Marcos Onion Plight",Neutral
2023-01-28 18:58:17,NASCAR’s Jimmie Johnson Named As Driver For 24 Hours Of Le Mans Garage 56 Entry,Neutral
2023-01-28 19:45:12,"The Odd, Winding History Of The Name “DC Extended Universe”",Neutral
2023-01-28 20:44:06,Warner's UK Studios Report Record Revenue,Positive
2023-01-28 21:07:34,‘Avatar: The Way Of Water’ Passes ‘Star Wars: The Force Awakens’ As 4th Highest Grossing Of All Time,Positive
2023-01-29 02:44:40,How Marvel Saved $40 Million On Its Biggest Movie Of 2022,Positive
2023-01-29 17:00:00,‘Avatar: The Way of Water’ Climbs Box-Office Ranks With Help From Chinese Audiences,Positive
2023-01-29 17:15:07,Weekend Box Office: ‘Avatar’ Sequel Continues To Top U.S. Charts After 7 Weeks—And Sets Sights On ‘Titanic’,Positive
2023-01-29 23:02:18,Commentary: Bye-bye massages and free food as Big Tech cuts back perks,Negative
2023-01-30 04:19:20,Lollipop Brands That Are More Than Meets The Eye,Neutral
2023-01-30 14:36:32,How the Supreme Court could soon change free speech on the internet,Neutral
2023-01-30 15:00:00,The Dump Months: Hollywood’s Annual House-Cleaning,Negative
2023-01-30 15:15:00,Helping Future Business Leaders Find Mentors: Accessibility Through Social Media,Positive
2023-01-30 17:36:06,From worst to first: 2022’s stock losers are leading the market this year,Neutral
2023-01-30 18:45:30,"Live In London, Berlin & Paris: Disney City Experience To Celebrate 100 Years",Positive
2023-01-30 20:29:27,MLB Could Be Prime To Go Direct-To-Consumer Streaming For Sinclair-Owned Regional Sports Networks,Neutral
2023-01-30 21:35:54,Pickleball Lands A Few Television Deals,Positive
2023-01-30 21:46:18,Bolsonaro Seeks Visa To Extend Florida Stay As Legal Threats Mount In Brazil,Neutral
2023-01-30 22:29:15,Fox Renews Deal to Put Prime-Time Shows on Disney’s Hulu Service,Neutral
2023-01-30 23:09:50,"Showtime to combine with Paramount+, rebrand with new name",Neutral
2023-01-31 02:33:55,Brazilian ex-president seeks visa to extend US stay amid legal threats at home,Neutral
2023-01-31 07:01:44,Tokyo Disney operator expects eightfold profit jump as fans return,Positive
2023-01-31 13:41:34,Is this the beginning of the end for Big Oil’s windfall?,Neutral
2023-01-31 16:00:38,"Warner Bros. Discovery reaches deals with Roku and Tubi to license 2,000 hours of content, including ‘Westworld’",Positive
2023-01-31 16:56:49,"Exclusive: Warner Bros Discovery licenses movies and TV shows to Roku, Tubi",Neutral
2023-01-31 18:49:27,"James Gunn unveils DC's new film and TV plan, including fresh spins on Supergirl, Batman",Positive
2023-01-31 18:56:13,"Here’s James Gunn’s DC Slate: Twos Batmans, Supergirl, Green Lantern And DCEU Carryovers",Neutral
2023-01-31 22:22:48,Peacock kills its free tier option for new customers,Negative
2023-01-31 23:42:17,"RV Makers Enjoyed Pandemic Boom, But Would Settle For Pre-2020 Sales",Positive
2023-01-31 23:49:55,Disney's $13 Million Drone Extravaganza,Neutral
2023-02-01 04:22:01,Winnebago Introduces eRV2 To Wedge Into Electric-RV Future,Neutral
2023-02-01 04:23:31,How Disney Sailed Off With $1.6 Billion From Its Cruise Line,Positive
2023-02-01 09:55:12,Phil McGraw To End Daytime Talker ‘Dr. Phil’ In The Spring,Neutral
2023-02-01 10:35:30,'The wolves of Wall Street are emerging from their dens',Neutral
2023-02-01 11:30:00,"Disney, Salesforce and Others Draw Activist ‘Swarm’ After Shares Decline",Negative
2023-02-01 13:00:37,Free hotel breakfasts are getting bigger and better,Positive
2023-02-01 15:00:01,James Dolan’s Empire is Beset by Challenges. AMC Networks Tops the List.,Negative
2023-02-01 15:00:30,Netflix gives Premium members more download devices and spatial audio on 700+ titles,Positive
2023-02-01 15:00:34,Character Studies: McDonald’s Launches Collectibles With Help From Loungefly,Neutral
2023-02-01 15:35:00,"Opinion: Here’s what’s worth streaming in February 2023, from ‘Dear Edward’ to ‘Wakanda Forever’ and ‘You’",Neutral
2023-02-01 16:30:52,‘Black Panther: Wakanda Forever’ gets its streaming debut on Disney+,Positive
2023-02-01 17:13:24,Hulu Orders A Revival Of Animated ‘King Of The Hill’,Neutral
2023-02-01 17:29:57,Dow Stocks To Trade In February,Neutral
2023-02-01 19:40:50,The biggest names in D&D are going independent on ‘Worlds Beyond Number’,Neutral
2023-02-01 20:22:01,‘The Mandalorian’ Season 3 Key-Art Poster Revealed Along With New Featurette Video,Neutral
2023-02-02 11:00:02,A Billionaire’s Son Battles a Turbulent WWE Over the Future of Pro Wrestling,Neutral
2023-02-02 12:00:06,The Best Airline Travel Credit Cards for 2023,Positive
2023-02-02 15:14:10,Trian presses Disney to replace board member Michael Froman with Nelson Peltz,Neutral
2023-02-02 22:33:00,Here’s how — and where — Netflix has started cracking down on password sharing,Neutral
2023-02-02 23:28:37,Revealed: The $40 Million Reason Amazon Is Making A Tomb Raider Streaming Series,Neutral
2023-02-03 00:22:50,"Former Top Hollywood Executive’s Napa Wines Display Qualities Of A Highly Successful, Classic Movie",Positive
2023-02-03 00:36:46,Florida Tops New York New Jobs Report,Positive
2023-02-03 02:18:00,Activist Investor Nelson Peltz Steps Up Pressure on Disney Board,Neutral
2023-02-03 05:23:59,Next China: Rabbit Rebound,Neutral
2023-02-03 06:00:08,‘Assassin’s Creed’ Creators Cling to Family Control at Ubisoft,Neutral
2023-02-03 11:45:00,Here’s everything new coming to Hulu in February 2023 — and what’s leaving,Neutral
2023-02-03 13:47:04,Offices are more than 50% filled for the first time since the pandemic started,Positive
2023-02-03 17:59:06,"Amazon ramped up content spending to $16.6B in 2022, including $7B on originals",Positive
2023-02-03 19:19:34,"Disney Explores the Sale of More Films, TV Series to Rivals (DIS)",Neutral
2023-02-03 20:15:00,Retirees: Don’t fall for a popularity contest when it comes to your investments,Negative
2023-02-03 20:42:29,What’s An Activist Investor–And How Do They Exercise So Much Control?,Neutral
2023-02-03 20:57:08,AP source: MLB forms economic group as regional TV in peril,Neutral
2023-02-03 22:23:36,"Florida lawmakers to meet next week on Disney, immigration",Neutral
2023-02-04 00:31:52,Cramer’s week ahead: Take advantage of the bull market by selling some shares,Neutral
2023-02-04 01:25:52,Rave Supports Unified ID 2.0 in New Partnership with The Trade Desk,Positive
2023-02-04 01:37:37,Disney World union members reject contract offer,Neutral
2023-02-04 15:00:00,"What Is An Earnings Recession, And How Does It Affect Stock Prices?",Neutral
2023-02-04 15:00:01,The Art of Designing a Dangerous-Looking Playground,Neutral
