,DIS,processed_text,bert_sentiment
2022-12-20 06:12:36,‘Avatar’ Sequel Crashes Movie Theater Equipment in Japan,avatar sequel crashes movie theater equipment japan,Negative
2022-12-20 08:15:04,Ndreams acquires VR dev partner Near Light,ndreams acquires vr dev partner near light,Positive
2022-12-20 14:18:54,Could Walt Disney spin off ESPN? Wells Fargo seems to think so,could walt disney spin espn wells fargo seems think,Neutral
2022-12-20 15:45:47,"4 Top Tech Stocks For 2023 - I Am Watching Google, And These Smaller Caps",top tech stocks watching google smaller caps,Positive
2022-12-20 18:04:37,Warner Bros. Discovery: Max Is Coming,warner bros discovery max coming,Positive
2022-12-20 18:50:38,"Three Marvel sequels are the most anticipated movies of 2023, according to Fandango",three marvel sequels anticipated movies according fandango,Neutral
2022-12-20 21:30:34,"G Fuel And Bandai Namco Entertainment Protect The Federation And Introduce ""Mobile Suit Gundam"" Energy Drink, Ms-M31-0n",fuel bandai namco entertainment protect federation introduce mobile suit gundam energy drink msmn,Positive
2022-12-20 21:32:25,"Disney will spin off ESPN in 2023, allowing it to stream directly to sports fans, analysts predict",disney spin espn allowing stream directly sports fans analysts predict,Positive
2022-12-21 02:58:04,NFL nearing rights deal with Google’s YouTube TV for Sunday Ticket game package,nfl nearing rights deal googles youtube tv sunday ticket game package,Positive
2022-12-21 06:18:56,Storm adds uncertainty to strong holiday travel demand,storm adds uncertainty strong holiday travel demand,Positive
2022-12-21 06:41:37,Why Sequins and Platform Heels Are Here to Stay,sequins platform heels stay,Negative
2022-12-21 10:32:13,"On the holidays, efforts to distract Ukrainian kids from war",holidays efforts distract ukrainian kids war,Positive
2022-12-21 16:22:02,Southern Company Selects Second Hbcu Scholarship Recipient,southern company selects second hbcu scholarship recipient,Positive
2022-12-21 17:34:24,Severe winter storm set to collide with strong holiday travel demand,severe winter storm set collide strong holiday travel demand,Negative
2022-12-21 17:48:50,Inworld AI drives toward better AI characters in games with grants and Santa demo,inworld ai drives toward better ai characters games grants santa demo,Positive
2022-12-21 19:21:21,"With Apple bowing out, YouTube is close to scoring NFL Sunday Ticket",apple bowing youtube close scoring nfl sunday ticket,Negative
2022-12-21 19:59:48,South Park creators’ deepfake video startup Deep Voodoo conjures $20M in new funding,south park creators deepfake video startup deep voodoo conjures new funding,Negative
2022-12-21 22:17:34,How to design branded voice experiences that engage and benefit customers long-term,design branded voice experiences engage benefit customers longterm,Positive
2022-12-21 22:19:31,"Pain, few gains for investors as markets slumped in 2022",pain gains investors markets slumped,Negative
2022-12-22 15:52:09,NFL Sunday Ticket goes to YouTube in $2 billion annual deal,nfl sunday ticket goes youtube billion annual deal,Positive
2022-12-22 16:51:30,Social secretary helps ‘people’s house’ welcome the people,social secretary helps peoples house welcome people,Positive
2022-12-22 17:08:44,VFX studio Perception takes us inside the tech of ‘Black Panther: Wakanda Forever’,vfx studio perception takes us inside tech black panther wakanda forever,Positive
2022-12-22 17:46:28,The 80-plus best last-minute digital gift ideas you can still get,plus best lastminute digital gift ideas still get,Positive
2022-12-22 22:34:22,How USD can become an open 3D standard of the metaverse,usd become open standard metaverse,Positive
2022-12-23 02:02:37,China’s Soaring Covid Cases Push Economic Activity Off A Cliff,chinas soaring covid cases push economic activity cliff,Negative
2022-12-23 02:36:31,‘Peak TV’ is coming to an end as streaming services look to cut costs,peak tv coming end streaming services look cut costs,Positive
2022-12-23 13:04:19,‘Avatar: The Way of Water’ needs a strong second week at the box office,avatar way water needs strong second week box office,Neutral
2022-12-23 14:14:16,The Metaverse Doesn’t Have a Leg to Stand On,metaverse doesnt leg stand,Negative
2022-12-23 14:35:21,Coherus gains on FDA action date for cancer drug,coherus gains fda action date cancer drug,Neutral
2022-12-23 16:28:06,These were the films and TV shows that defined 2022,films tv shows defined,Positive
2022-12-23 17:35:52,"Thom Bell, an architect of 1970s Philadelphia soul, dies",thom bell architect philadelphia soul dies,Positive
2022-12-23 19:49:40,Why are Yule Logs scary this year?,yule logs scary year,Negative
2022-12-23 21:56:43,TechCrunch’s Favorite Things of 2022,techcrunchs favorite things,Positive
2022-12-24 01:28:37,Jim Cramer says he likes these 3 communication services stocks for 2023,jim cramer says likes communication services stocks,Positive
2022-12-24 13:10:14,The 15 Best Movies of 2022—and Where to Watch Them,best movies watch,Positive
2022-12-24 16:20:08,Marvel Snap is kind of like a wild comic book story generator,marvel snap kind like wild comic book story generator,Neutral
2022-12-24 19:29:52,10 great shows from 2022 to stream on Netflix,great shows stream netflix,Positive
2022-12-24 20:30:36,A new metric in ad tech: Carbon emissions,new metric ad tech carbon emissions,Positive
2022-12-25 18:19:06,"‘Avatar: The Way of Water’ nears $900 million globally, boosted by international ticket sales",avatar way water nears million globally boosted international ticket sales,Positive
2022-12-25 19:26:20,‘Avatar 2’ Gains $56 Million in Storm-Hit Second Weekend,avatar gains million stormhit second weekend,Positive
2022-12-25 23:17:15,‘Avatar’ sequel stays atop box office in strong second weekend,avatar sequel stays atop box office strong second weekend,Positive
2022-12-26 05:30:44,"Beijing, Shanghai residents back to work as China limps towards living with COVID",beijing shanghai residents back work china limps towards living covid,Positive
2022-12-26 06:41:55,"Beijing, Shanghai residents back to work as China eases into living with COVID-19",beijing shanghai residents back work china eases living covid,Positive
2022-12-26 11:09:34,Roku: This Is Turning Into A Real Disaster,roku turning real disaster,Negative
2022-12-26 13:54:01,Opinion: No love for meme stocks — stock-trading kids are loading up on Apple and index funds,opinion love meme stocks stocktrading kids loading apple index funds,Negative
2022-12-26 16:46:42,"Hope Global Forums rallies business leaders for financial literacy, ‘so that everyone learns the language of money’",hope global forums rallies business leaders financial literacy everyone learns language money,Positive
2022-12-26 21:26:59,Disney: Time To Consider Initiating A Position,disney time consider initiating position,Positive
2022-12-27 02:48:31,"Takashimaya Shares Jump on Guidance Upgrade, Hopes for Chinese Travelers",takashimaya shares jump guidance upgrade hopes chinese travelers,Positive
2022-12-27 03:02:10,Have We Reached Peak Pinocchio? Fifty Remakes of the Classic Tale Baffle Fans,reached peak pinocchio fifty remakes classic tale baffle fans,Positive
2022-12-27 15:30:29,"United In Song 2022: Ringing In The New Year, Hosted By Renée Fleming With Chris Jackson, Premieres New Year's Eve, Saturday, December 31, On Pbs And Streaming On Pbs.Org And The Pbs App",united song ringing new year hosted rene fleming chris jackson premieres new year eve saturday december pbs streaming pbsorg pbs app,Positive
2022-12-27 15:42:47,7 great series and movies from 2022 to stream on Disney Plus,great series movies stream disney plus,Positive
2022-12-27 17:50:09,The real fantasy in Final Fantasy XIV is owning a damn house,real fantasy final fantasy xiv owning damn house,Positive
2022-12-27 17:50:37,"Imax Crosses $100 Million In Global Box Office With James Cameron's ""Avatar: The Way Of Water""",imax crosses million global box office james cameron avatar way water,Positive
2022-12-27 21:19:32,"Clearwater Marine Aquarium Launches New Audio Tour, Sponsored By Baycare",clearwater marine aquarium launches new audio tour sponsored baycare,Positive
2022-12-27 21:20:32,"G Fuel And Rare Ltd. Have A ""Bad Fur Day"" With Conker-Themed ""Mighty Poo"" Energy Drink",fuel rare ltd bad fur day conkerthemed mighty poo energy drink,Positive
2022-12-27 22:44:22,"'Avatar' sequel swamps holiday box office, nears $890M worldwide",avatar sequel swamps holiday box office nears worldwide,Negative
2022-12-27 23:36:12,Top Solana NFT projects DeGods and y00ts to leave the blockchain and ‘explore new opportunities’,top solana nft projects degods yts leave blockchain explore new opportunities,Positive
2022-12-28 07:58:40,Avid Technology: Small Cap In Early Stages Of SaaS Transformation,avid technology small cap early stages saas transformation,Positive
2022-12-28 13:10:35,The Best TV Shows of 2022—and How to Watch Them,best tv shows watch,Positive
2022-12-28 16:30:17,TRC Capital Decreases Offer-Price for Disney Shares,trc capital decreases offerprice disney shares,Negative
2022-12-28 18:56:06,Streaming will look more like cable TV in 2023: Here are 5 trends to watch for,streaming look like cable tv trends watch,Positive
2022-12-28 19:59:32,"'Avatar' sequel eclipses $1 billion at global box office, even with Covid weighing on China business",avatar sequel eclipses billion global box office even covid weighing china business,Negative
2022-12-28 20:17:50,Disney’s releasing a Stan Lee documentary in 2023,disneys releasing stan lee documentary,Positive
2022-12-29 00:46:56,Amazon planning standalone app for sports content - The Information,amazon planning standalone app sports content information,Positive
2022-12-29 01:49:49,"Disneyland Resort Welcomes Rose Bowl Bound Teams, Utah And Penn State",disneyland resort welcomes rose bowl bound teams utah penn state,Positive
2022-12-29 05:24:37,Apple: Out Of Control,apple control,Negative
2022-12-29 13:41:00,"2022 was tough for media stocks like Netflix and Disney, and 2023 doesn’t look good, either",tough media stocks like netflix disney doesnt look good either,Negative
2022-12-29 16:18:04,Here are all the new salary transparency laws going into effect in 2023,new salary transparency laws going effect,Positive
2022-12-29 23:04:28,"Vivienne Westwood, Priestess of Punk, Has Died",vivienne westwood priestess punk died,Positive
2022-12-30 02:57:54,China’s Economic Activity Rebounds in Cities Where Covid Peaked,chinas economic activity rebounds cities covid peaked,Negative
2022-12-30 06:38:18,Buying A Tesla Could Become A Political Decision,buying tesla could become political decision,Negative
2022-12-30 07:30:28,Tracking Philippe Laffont's Coatue Management Portfolio - Q3 2022 Update,tracking philippe laffont coatue management portfolio update,Positive
2022-12-30 13:14:36,15 Movies We Can’t Wait to See in 2023,movies cant wait see,Positive
2022-12-30 18:51:08,Netflix vs. Hulu: Which offers better value?,netflix vs hulu offers better value,Negative
2022-12-30 19:00:15,Predictions for gaming in 2023 | The DeanBeat,predictions gaming deanbeat,Positive
2022-12-30 19:58:20,"Verizon, Intel and Dow stocks are the biggest ‘dogs’ of the Dow as 2022 ends",verizon intel dow stocks biggest dogs dow ends,Negative
2022-12-30 20:05:35,The biggest — and maybe the best — financial resolution for 2023,biggest maybe best financial resolution,Positive
2022-12-30 23:38:16,Commentary: Netflix hits are amping up cities’ appeal to tourists,commentary netflix hits amping cities appeal tourists,Positive
2022-12-31 03:56:44,"Barbara Walters, trailblazing TV broadcaster, dead at 93",barbara walters trailblazing tv broadcaster dead,Positive
2022-12-31 04:50:55,"Barbara Walters, Pioneering TV Journalist, Dies at Age 93",barbara walters pioneering tv journalist dies age,Positive
2022-12-31 04:52:59,"Barbara Walters, news pioneer and ‘The View’ creator, dies",barbara walters news pioneer view creator dies,Positive
2022-12-31 05:01:22,"Barbara Walters, pioneering TV journalist who began on ‘TODAY,’ dies at 93",barbara walters pioneering tv journalist began today dies,Positive
2022-12-31 06:04:39,"Barbara Walters, pioneering news anchor, has died at 93",barbara walters pioneering news anchor died,Positive
2022-12-31 06:05:09,‘Trailblazer’: World mourns death of Barbara Walters,trailblazer world mourns death barbara walters,Positive
2022-12-31 06:06:57,Pioneering U.S. television journalist Barbara Walters dead at 93,pioneering us television journalist barbara walters dead,Positive
2022-12-31 10:17:17,Cities in Asia ready for New Year parties after COVID hiatus,cities asia ready new year parties covid hiatus,Positive
2022-12-31 13:19:10,Revelers throng to New Year’s parties after COVID hiatus,revelers throng new years parties covid hiatus,Positive
2022-12-31 14:49:09,"Barbara Walters, Doyenne of TV Interviewers, Dies at 93",barbara walters doyenne tv interviewers dies,Positive
2022-12-31 16:26:24,Revelers throng to New Year’s parties after COVID hiatus,revelers throng new years parties covid hiatus,Positive
2023-01-01 07:26:45,Cavaliers betting on in-arena sportsbook to win over fans,cavaliers betting inarena sportsbook win fans,Positive
2023-01-01 18:34:58,‘Avatar 2’ On Pace to Beat ‘Top Gun’ as 2022’s Biggest Movie,avatar pace beat top gun biggest movie,Positive
2023-01-02 00:26:54,"‘Avatar’ sequel No. 1 at box office again, tops $1 billion worldwide",avatar sequel box office tops billion worldwide,Positive
2023-01-02 07:02:14,Jeremy Renner hospitalized after snow-related accident,jeremy renner hospitalized snowrelated accident,Neutral
2023-01-02 19:34:54,Jeremy Renner seriously injured while plowing snow in Nevada,jeremy renner seriously injured plowing snow nevada,Negative
2023-01-02 22:48:05,Jeremy Renner critically injured while plowing snow near Lake Tahoe,jeremy renner critically injured plowing snow near lake tahoe,Negative
2023-01-03 02:51:18,‘Avengers’ Star Jeremy Renner Undergoes Surgery After Snow Plow Accident,avengers star jeremy renner undergoes surgery snow plow accident,Positive
2023-01-03 08:57:56,Amazon: Deep Dive Analysis Reveals Excellent Long-Term Value,amazon deep dive analysis reveals excellent longterm value,Positive
2023-01-03 15:14:26,Warner Bros. Discovery signs audience measurement deal with startup Nielsen rival VideoAmp,warner bros discovery signs audience measurement deal startup nielsen rival videoamp,Positive
2023-01-03 15:43:26,Disney’s next 100 years hinges on a metaverse,disneys next years hinges metaverse,Positive
2023-01-03 19:19:39,"As postproduction backlogs delay movie releases, B. Riley lowers industry box-office estimates",postproduction backlogs delay movie releases riley lowers industry boxoffice estimates,Negative
2023-01-03 19:25:02,"Oscar-Eligible Animated Feature ""Lamya's Poem"" Acquired By Freestyle Digital Media For February Release",oscareligible animated feature lamya poem acquired freestyle digital media february release,Positive
2023-01-03 19:25:12,Nets roll to 12 in a row as Vaughn builds winner in Brooklyn,nets roll row vaughn builds winner brooklyn,Positive
2023-01-03 21:54:55,Reno mayor: Actor Renner was helping stranded car when hurt,reno mayor actor renner helping stranded car hurt,Negative
2023-01-03 23:03:04,The Steam Awards 2022 announces winners,steam awards announces winners,Positive
2023-01-04 01:03:09,Stock futures inch lower after rocky start to 2023,stock futures inch lower rocky start,Negative
2023-01-04 01:30:07,Jim Cramer predicts these 10 Dow stocks will perform well in 2023,jim cramer predicts dow stocks perform well,Positive
2023-01-04 03:54:17,Jeremy Renner was helping snowbound motorist when injured in ‘tragic accident’,jeremy renner helping snowbound motorist injured tragic accident,Positive
2023-01-04 04:08:04,"Buy 4 January Dogs Of The Dow, Watch 4 More",buy january dogs dow watch,Positive
2023-01-04 07:44:17,Compounders And Dividends: December 2022 Portfolio Update,compounders dividends december portfolio update,Positive
2023-01-04 09:56:14,Analyzing 13Fs: ARK Investment Management (Cathie Wood's ETFs),analyzing fs ark investment management cathie wood etfs,Positive
2023-01-04 15:35:45,The fitness-centric Beats Fit Pro are back down to their lowest price,fitnesscentric beats fit pro back lowest price,Negative
2023-01-04 18:07:10,"At CES 2023, Sony's 'Gran Turismo' flags new entertainment strategy",ces sony gran turismo flags new entertainment strategy,Positive
2023-01-04 19:51:33,Amazon’s custom-built ‘Hey Disney!’ voice assistant will become available for purchase later this year,amazons custombuilt hey disney voice assistant become available purchase later year,Positive
2023-01-04 19:55:31,Disney Plus IMAX Enhanced streaming is expanding to include ‘signature sound’,disney plus imax enhanced streaming expanding include signature sound,Positive
2023-01-04 22:42:49,Fanatics is divesting its 60% stake in NFT company Candy Digital,fanatics divesting stake nft company candy digital,Negative
2023-01-04 23:40:51,Philips Hue is getting a $130 app for TVs,philips hue getting app tvs,Positive
2023-01-05 03:14:47,"Today at CES: Smellscapes, robot dogs, and ‘awareables’",today ces smellscapes robot dogs awareables,Positive
2023-01-05 11:19:12,3 Myths To Debunk About Apple,myths debunk apple,Positive
2023-01-05 19:40:31,HTC Vive XR Elite headset debuts for enthusiasts and enterprises,htc vive xr elite headset debuts enthusiasts enterprises,Positive
2023-01-05 23:30:23,U.S. Wide-Moat Stocks On Sale: The January 2023 Heat Map,us widemoat stocks sale january heat map,Negative
2023-01-06 03:07:08,Snap’s shutting down the app that put cool filters on your Zoom calls,snaps shutting app put cool filters zoom calls,Negative
2023-01-06 20:07:08,Mastercard launches web3-focused artist incubator with Polygon,mastercard launches webfocused artist incubator polygon,Positive
2023-01-06 21:03:08,Verizon’s +Play subscription store to later open to non-Verizon customers,verizons play subscription store later open nonverizon customers,Negative
2023-01-06 21:06:26,Disney: Creating A New Corporate Culture Is Job One For Iger,disney creating new corporate culture job one iger,Positive
2023-01-06 23:56:35,The Nasdaq Has Bottomed,nasdaq bottomed,Negative
2023-01-07 09:25:56,"Endeavor Group Stock: Dana White Scandal Adds Risks, But Possibly Overblown",endeavor group stock dana white scandal adds risks possibly overblown,Neutral
2023-01-07 11:56:56,Disney Princesses Return to Mattel as Barbie Maker’s Turnaround Ambitions Grow,disney princesses return mattel barbie makers turnaround ambitions grow,Positive
2023-01-07 13:56:52,Vince McMahon is back at WWE to ensure a smooth sale process. Here’s who might want to buy it,vince mcmahon back wwe ensure smooth sale process heres might want buy,Positive
2023-01-07 19:28:16,Dozens in Congress beat stock market in 2022 despite downturn on Wall Street: analysis,dozens congress beat stock market despite downturn wall street analysis,Negative
2023-01-08 00:40:33,Disney’s Magical Companion debuts at CES with some help from Amazon,disneys magical companion debuts ces help amazon,Positive
2023-01-08 00:45:39,The best products and moments of CES 2023 | The DeanBeat,best products moments ces deanbeat,Positive
2023-01-08 13:46:07,DJD: Value And Dividend Growth In The Dow Jones,djd value dividend growth dow jones,Positive
2023-01-08 20:32:51,What each streaming service has up its sleeve in 2023,streaming service sleeve,Positive
2023-01-09 02:09:52,Amazon Needs The Silver Screen,amazon needs silver screen,Negative
2023-01-09 02:39:04,‘Shallow Catalog’ is The Fastest-Growing Business in Music,shallow catalog fastestgrowing business music,Negative
2023-01-09 11:53:15,"Pearl Academy Announces ""Who's Next?"" Scholarship; Looks Out For Best Creative Minds In India",pearl academy announces next scholarship looks best creative minds india,Positive
2023-01-09 14:19:32,From the Archive: 1992 Ferrari 512TR Epic Cross-Country Road Trip,archive ferrari tr epic crosscountry road trip,Positive
2023-01-09 15:48:13,Cinemark Is Still Over-Priced Even After Dropping 50%,cinemark still overpriced even dropping,Negative
2023-01-09 18:47:09,Bob Iger tells Disney employees they must return to the office four days a week,bob iger tells disney employees must return office four days week,Negative
2023-01-09 19:40:32,Orlando Unveils 23 New Experiences To See In 2023,orlando unveils new experiences see,Positive
2023-01-09 20:56:57,"As Brazil reels from riots, Bolsonaro finds home in Florida",brazil reels riots bolsonaro finds home florida,Positive
2023-01-09 21:15:14,"Abigail Disney says private jets are a climate ‘cancer,’ calls out Elon Musk and other rich ‘babies’",abigail disney says private jets climate cancer calls elon musk rich babies,Negative
2023-01-09 22:13:08,"'Avatar' adds to cash pile, but 'M3GAN' is latest horror surprise",avatar adds cash pile mgan latest horror surprise,Neutral
2023-01-10 00:46:13,"Daily Crunch: In an all-cash transaction, private equity firm buys insurtech startup Duck Creek for $2.6B",daily crunch allcash transaction private equity firm buys insurtech startup duck creek,Negative
2023-01-10 02:24:00,"Disney Requires Workers to Come to Office Four Days a Week, Starting in March",disney requires workers come office four days week starting march,Neutral
2023-01-10 03:21:16,December 2022 Passive Income - Wrapping It Up,december passive income wrapping,Negative
2023-01-10 11:37:08,Tuesday’s top tech news: the next step in Apple’s chip plans,tuesdays top tech news next step apples chip plans,Positive
2023-01-10 14:26:07,What does it really take to be a leader when it comes to cloud databases?,really take leader comes cloud databases,Positive
2023-01-10 15:27:53,Disney CEO Bob Iger orders workers to return to the office 4 days a week,disney ceo bob iger orders workers return office days week,Negative
2023-01-10 17:28:45,"What is chokepoint capitalism, with authors Cory Doctorow and Rebecca Giblin",chokepoint capitalism authors cory doctorow rebecca giblin,Negative
2023-01-10 18:43:29,Warner Bros. shares are headed for best nine-day streak in nearly two decades,warner bros shares headed best nineday streak nearly two decades,Positive
2023-01-10 18:46:25,‘Top Gun: Maverick’ and Disney were the box office leaders in an otherwise soft 2022,top gun maverick disney box office leaders otherwise soft,Positive
2023-01-10 19:39:09,"Tech firms, Wall Street lead job cuts in Corporate America",tech firms wall street lead job cuts corporate america,Positive
2023-01-10 20:00:34,"Tesla, Uber, Amazon, Starbucks: The 2023 Just 100 list biggest gainers, losers and surprises",tesla uber amazon starbucks list biggest gainers losers surprises,Positive
2023-01-10 23:22:33,Bolsonaro Finds a Refuge Near the ‘Most Magical Place on Earth’,bolsonaro finds refuge near magical place earth,Positive
2023-01-10 23:42:24,Disney is making it easier for its most loyal customers to visit its theme parks,disney making easier loyal customers visit theme parks,Positive
2023-01-11 00:50:52,Disney makes it easier for loyal customers to visit theme parks,disney makes easier loyal customers visit theme parks,Positive
2023-01-11 01:06:15,Disney Adds Lower Priced Theme Park Access and Perks,disney adds lower priced theme park access perks,Positive
2023-01-11 02:17:09,Disney eases policies at theme parks for first time in new Iger stint,disney eases policies theme parks first time new iger stint,Positive
2023-01-11 06:30:21,London-based Peppy eyes US market in $45 million raise,londonbased peppy eyes us market million raise,Negative
2023-01-11 06:31:53,Peppy secures a $45M Series B to expand its B2B2C health services platform to the US,peppy secures series expand bbc health services platform us,Positive
2023-01-11 09:04:01,"The app economy slowed for the first time in 2022, with consumer spend down 2% to $167 billion",app economy slowed first time consumer spend billion,Negative
2023-01-11 10:18:06,Refugee Services Of Texas Names David Mckeever As Ceo Of The State's Leading Resettlement Organization,refugee services texas names david mckeever ceo state leading resettlement organization,Positive
2023-01-11 14:52:35,"Stocks making the biggest moves premarket: CarMax, Salesforce, Coinbase and more",stocks making biggest moves premarket carmax salesforce coinbase,Positive
2023-01-11 16:38:38,"AMC jumps ~14%, on track for best day of the new year after a 75% plunge in 2022",amc jumps track best day new year plunge,Positive
2023-01-11 17:59:18,"Universal Plans New Family Resort in Texas, Las Vegas Horror Attraction",universal plans new family resort texas las vegas horror attraction,Positive
2023-01-11 18:16:37,Steven Spielberg Wins Big at Golden Globes as Show Returns,steven spielberg wins big golden globes show returns,Positive
2023-01-11 18:52:49,Netflix adds the SAG Awards to its growing list of livestreams,netflix adds sag awards growing list livestreams,Positive
2023-01-11 18:53:44,HBO and HBO Max dominates Golden Globes with most wins,hbo hbo max dominates golden globes wins,Positive
2023-01-11 20:09:01,"Paul Tudor Jones, hedge fund billionaire, wants to do away with ‘ESG’",paul tudor jones hedge fund billionaire wants away esg,Positive
2023-01-11 21:30:15,G Fuel And Bandai Namco Entertainment America Inc. Pick Up Bonus Points And Introduce Pac-Man Energy Drink,fuel bandai namco entertainment america inc pick bonus points introduce pacman energy drink,Positive
2023-01-11 22:38:17,"Disney taps Nike's Parker as new board chairman, urges vote against Peltz",disney taps nike parker new board chairman urges vote peltz,Positive
2023-01-11 22:44:04,Disney to make Nike's Mark Parker chairman as it opposes Nelson Peltz's push to join board,disney make nike mark parker chairman opposes nelson peltz push join board,Positive
2023-01-11 23:53:42,Disney names Nike executive Mark Parker as new chairman,disney names nike executive mark parker new chairman,Positive
2023-01-12 00:14:21,Starbucks CEO Howard Schultz tells corporate workers to return to the office 3 days a week,starbucks ceo howard schultz tells corporate workers return office days week,Negative
2023-01-12 00:36:37,Saudi Arabia is Rumored to Purchase World Wrestling Entertainment,saudi arabia rumored purchase world wrestling entertainment,Negative
2023-01-12 01:08:13,"Stocks to Watch: Disney, Yield10 Bioscience, KB Home",stocks watch disney yield bioscience kb home,Positive
2023-01-12 01:23:59,Subway considers sale valuing sandwich chain at more than $10 billion,subway considers sale valuing sandwich chain billion,Negative
2023-01-12 01:45:30,Disney Tax District Shores Up Development Plans Amid Florida Tensions,disney tax district shores development plans amid florida tensions,Positive
2023-01-12 02:22:48,What to expect at work this year,expect work year,Positive
2023-01-12 02:35:20,Biden aides find more classified documents at second location,biden aides find classified documents second location,Neutral
2023-01-12 02:45:30,Nelson Peltz Plans Proxy Fight Against Disney,nelson peltz plans proxy fight disney,Negative
2023-01-12 04:48:50,"Disney, activist investor Peltz gird for fight over board seat",disney activist investor peltz gird fight board seat,Positive
2023-01-12 12:45:39,"As it shifts focus from DIY computer kits, Kano spins out its creative software suite as a standalone business",shifts focus diy computer kits kano spins creative software suite standalone business,Positive
2023-01-12 14:08:27,"Stocks making the biggest moves premarket: Disney, American Airlines, Bed Bath & Beyond, Logitech and more",stocks making biggest moves premarket disney american airlines bed bath beyond logitech,Positive
2023-01-12 15:30:37,"Nelson Peltz lays out his case for Disney proxy fight, slams Fox acquisition",nelson peltz lays case disney proxy fight slams fox acquisition,Positive
2023-01-12 16:49:23,Disney faces proxy fight as Peltz pushes to join board,disney faces proxy fight peltz pushes join board,Negative
2023-01-12 19:10:00,"Stocks making the biggest moves midday: Cognizant, American Airlines, Logitech and more",stocks making biggest moves midday cognizant american airlines logitech,Positive
2023-01-12 19:23:24,Investor Peltz takes on Iger's kingdom with fight for Disney board seat,investor peltz takes iger kingdom fight disney board seat,Positive
2023-01-12 20:07:51,JPMorgan Says Frank Was Fraud,jpmorgan says frank fraud,Negative
2023-01-12 20:19:52,Cinemark rises ~9% after JPMorgan upgrades stock on better risk/reward post sell-off,cinemark rises jpmorgan upgrades stock better riskreward post selloff,Negative
2023-01-12 20:36:23,"Netflix’s unpredictable finale: With no more subscription guidance, the focus is on financial estimates",netflixs unpredictable finale subscription guidance focus financial estimates,Neutral
2023-01-13 00:00:00,Roku: Rising Competition From Partners,roku rising competition partners,Positive
2023-01-13 00:11:54,Disney Braces for a Proxy Fight with Nelson Peltz,disney braces proxy fight nelson peltz,Positive
2023-01-13 00:35:18,Jim Cramer says Disney should allow Nelson Peltz to join its board,jim cramer says disney allow nelson peltz join board,Negative
2023-01-13 05:36:47,Starbucks tells corporate employees to return to office 3 days a week,starbucks tells corporate employees return office days week,Negative
2023-01-13 15:30:28,Tiny Colony will debut as Web3 tower defense game on ImmutableX,tiny colony debut web tower defense game immutablex,Positive
2023-01-13 15:30:33,"Award-Winning Film Producer Launches Web3's First Management Sim, Tiny Colony, On Immutablex",awardwinning film producer launches web first management sim tiny colony immutablex,Positive
2023-01-13 15:40:20,Lina Khan’s Plan to Liberate US Workers,lina khans plan liberate us workers,Positive
2023-01-13 17:00:26,Sinclair Broadcast: Nice Entry Point For Investors,sinclair broadcast nice entry point investors,Positive
2023-01-13 17:27:54,Activist investor Nelson Peltz’s Trian won’t pursue Wendy’s takeover,activist investor nelson peltzs trian wont pursue wendys takeover,Negative
2023-01-13 19:05:36,YouTube creators are ducking outraged by its swearing policy,youtube creators ducking outraged swearing policy,Negative
2023-01-13 20:59:09,"Creative, Talented And Inspiring High School Students Chosen For This Year's Disney Dreamers Academy At Walt Disney World Resort",creative talented inspiring high school students chosen year disney dreamers academy walt disney world resort,Positive
2023-01-13 23:29:20,YouTube’s testing free ad-supported TV channels,youtubes testing free adsupported tv channels,Positive
2023-01-14 04:43:39,AFI Awards holds moment of silence for Lisa Marie Presley,afi awards holds moment silence lisa marie presley,Positive
2023-01-14 14:54:34,A battle between Disney and activist Peltz brews. Here’s how the situation may unfold,battle disney activist peltz brews heres situation may unfold,Positive
2023-01-14 15:30:53,LG’s StanbyME is a so-so TV on a stellar stand,lgs stanbyme soso tv stellar stand,Positive
2023-01-14 16:42:56,"Netflix's 'Wednesday' tops streaming week, though HBO Max keeps building",netflix wednesday tops streaming week though hbo max keeps building,Neutral
2023-01-15 14:21:54,"Forget inflation, it’s all about earnings",forget inflation earnings,Negative
2023-01-15 15:20:17,Eric Cantor of M&A advisory firm Moelis sees pent-up demand for deals this year,eric cantor advisory firm moelis sees pentup demand deals year,Positive
2023-01-15 15:39:50,Gen Z has a new ‘vintage’ technology to obsess over,gen new vintage technology obsess,Positive
2023-01-15 18:02:58,Cliq Digital: Trading At Just 2.5 Times The Anticipated 2025 EBITDA,cliq digital trading times anticipated ebitda,Negative
2023-01-16 16:33:12,Goldman picks 50 top return-on-equity stocks for a tough ROE year,goldman picks top returnonequity stocks tough roe year,Positive
2023-01-16 16:35:45,Angela Bassett To Receive The Distinguished Artisan Award At 2023 Make-Up Artists & Hair Stylists Guild Awards,angela bassett receive distinguished artisan award makeup artists hair stylists guild awards,Positive
2023-01-17 02:08:37,Netflix plans its biggest-ever slate of Korean content,netflix plans biggestever slate korean content,Negative
2023-01-17 10:02:50,"Cousins Properties: Offers 4.9% Dividend, 30% Upside Potential Over The Next 2 Years",cousins properties offers dividend upside potential next years,Positive
2023-01-17 12:10:47,Extremely Hardcore,extremely hardcore,Negative
2023-01-17 13:01:49,A lot of people hide their cancer diagnosis from their bosses. These companies aim to change that,lot people hide cancer diagnosis bosses companies aim change,Negative
